amount,payment_date,return_date,rental_date,first_name,last_name,address,title,rating,length,language,string_agg
2.99,2020-01-24 21:21:56.996577+00,2005-05-26 21:04:30+00,2005-05-24 21:53:30+00,CHARLOTTE,HUNTER,758 Junan Lane,BLANKET BEVERLY,G,148,English             ,"FREDCOSTNER,ALANDREYFUSS,BURTTEMPLE,THORATEMPLE"
2.99,2020-01-24 21:22:59.996577+00,2005-05-28 18:40:33+00,2005-05-24 21:54:33+00,TOMMY,COLLAZO,76 Kermanshah Manor,FREAKY POCUS,R,126,English             ,"MATTHEWLEIGH,FAYWINSLET,KEVINGARLAND,SIDNEYCROWE,TOMMIRANDA"
3.99,2020-01-24 21:32:05.996577+00,2005-06-01 21:12:39+00,2005-05-24 22:03:39+00,MANUEL,MURRELL,692 Amroha Drive,GRADUATE LORD,G,156,English             ,"WHOOPIHURT,EWANGOODING"
4.99,2020-01-24 21:33:07.996577+00,2005-06-03 00:43:41+00,2005-05-24 22:04:41+00,ANDREW,PURDY,431 Szkesfehrvr Avenue,LOVE SUICIDES,R,181,English             ,"JOHNNYLOLLOBRIGIDA,TOMMIRANDA,CHRISTIANNEESON,GRETAMALDEN"
6.99,2020-01-24 21:33:47.996577+00,2005-06-02 03:33:21+00,2005-05-24 22:05:21+00,DELORES,HANSEN,810 Palghat (Palakkad) Boulevard,IDOLS SNATCHERS,NC-17,84,English             ,"MARYKEITEL,JANEJACKMAN,ALBERTNOLTE,RUSSELLBACALL,SEANWILLIAMS,TOMMCKELLEN,ADAMGRANT,OLYMPIAPFEIFFER"
0.99,2020-01-24 21:36:33.996577+00,2005-05-27 00:32:07+00,2005-05-24 22:08:07+00,NELSON,CHRISTENSON,1764 Jalib al-Shuyukh Parkway,MYSTIC TRUMAN,NC-17,92,English             ,"HUMPHREYWILLIS,RIVERDEAN,SCARLETTDAMON,KEVINGARLAND"
1.99,2020-01-24 21:40:19.996577+00,2005-05-29 19:34:53+00,2005-05-24 22:11:53+00,CASSANDRA,WALTERS,920 Kumbakonam Loop,SWARM GOLD,PG-13,123,English             ,"SPENCERPECK,MATTHEWCARREY,JESSICABAILEY,BURTPOSEY,ANGELINAASTAIRE,WOODYJOLIE"
4.99,2020-01-24 22:00:12.996577+00,2005-05-27 22:33:46+00,2005-05-24 22:31:46+00,MINNIE,ROMERO,47 Syktyvkar Lane,LAWLESS VISION,G,181,English             ,"PENELOPEPINKETT,BOBFAWCETT,JOESWANK,MICHAELBOLGER"
4.99,2020-01-24 22:29:06.996577+00,2005-05-27 23:22:40+00,2005-05-24 23:00:40+00,ELLEN,SIMPSON,1666 Qomsheh Drive,MATRIX SNOWMAN,PG-13,56,English             ,"GARYPENN,RUSSELLBACALL,SANDRAPECK"
5.99,2020-01-24 22:30:47.996577+00,2005-05-31 21:44:21+00,2005-05-24 23:02:21+00,DANNY,ISOM,734 Bchar Place,HANGING DEEP,G,62,English             ,"ROCKDUKAKIS,MERYLGIBSON,RIPWINSLET,JOHNNYCAGE,KENNETHPALTROW,MATTHEWJOHANSSON,ANGELAWITHERSPOON"
8.99,2020-01-24 22:37:28.996577+00,2005-06-02 19:56:02+00,2005-05-24 23:09:02+00,APRIL,BURNS,483 Ljubertsy Parkway,WHALE BIKINI,PG-13,109,English             ,"EDCHASE,GREGORYGOODING,RIPWINSLET,AUDREYOLIVIER,HENRYBERRY"
